,Time,xVolt,yVolt
853,2232,1656,1656
854,2236,1653,1662
855,2238,1650,1659
856,2241,1662,1656
857,2243,1646,1653
858,2246,1640,1656
859,2249,1643,1653
860,2251,1653,1662
861,2254,1650,1656
862,2257,1646,1656
863,2259,1643,1659
864,2262,1650,1659
865,2265,1643,1650
866,2267,1650,1656
867,2270,1656,1653
868,2273,1659,1653
869,2275,1643,1653
870,2279,1650,1646
871,2282,1662,1653
872,2284,1640,1653
873,2287,1650,1653
874,2290,1646,1659
875,2292,1656,1650
876,2295,1646,1656
877,2298,1650,1653
878,2300,1646,1653
879,2303,1643,1659
880,2306,1662,1643
881,2308,1650,1662
882,2311,1643,1656
883,2314,1650,1650
884,2316,1656,1643
885,2320,1650,1656
886,2323,1659,1650
887,2325,1659,1656
888,2328,1650,1656
889,2330,1650,1656
890,2333,1650,1653
891,2336,1659,1646
892,2338,1659,1653
893,2341,1653,1650
894,2344,1646,1672
895,2346,1653,1662
896,2349,1646,1650
897,2352,1656,1646
898,2354,1650,1659
899,2357,1653,1656
900,2360,1653,1659
901,2363,1650,1666
902,2366,1653,1653
903,2369,1646,1646
904,2371,1653,1656
905,2374,1653,1659
906,2377,1656,1656
907,2379,1646,1656
908,2382,1646,1643
909,2385,1650,1650
910,2387,1650,1650
911,2390,1643,1650
912,2393,1653,1669
913,2395,1650,1646
914,2398,1646,1650
915,2401,1646,1653
916,2403,1653,1656
917,2407,1646,1653
918,2410,1653,1653
919,2412,1650,1653
920,2415,1656,1646
921,2417,1637,1672
922,2420,1646,1656
923,2423,1662,1656
924,2425,1666,1662
925,2428,1646,1646
926,2431,1650,1662
927,2433,1650,1653
928,2436,1656,1653
929,2439,1653,1662
930,2441,1643,1656
931,2444,1646,1656
932,2448,1653,1656
933,2450,1646,1650
934,2453,1653,1659
935,2456,1640,1662
936,2458,1650,1653
937,2461,1640,1656
938,2464,1662,1656
939,2466,1650,1643
940,2469,1653,1650
941,2472,1662,1659
942,2474,1650,1650
943,2477,1646,1653
944,2480,1650,1662
945,2482,1650,1656
946,2485,1646,1662
947,2488,1643,1653
948,2491,1650,1662
949,2494,1640,1659
950,2497,1653,1653
951,2499,1650,1643
952,2502,1646,1653
953,2504,1643,1653
954,2507,1653,1653
955,2510,1656,1656
956,2512,1646,1643
957,2515,1659,1646
958,2518,1653,1646
959,2520,1653,1650
960,2523,1662,1653
961,2526,1650,1650
962,2528,1653,1643
963,2531,1656,1646
964,2535,1656,1653
965,2537,1640,1650
966,2540,1656,1659
967,2543,1650,1656
968,2545,1656,1650
969,2548,1653,1646
970,2551,1640,1653
971,2553,1656,1646
972,2556,1662,1656
973,2559,1659,1659
974,2561,1659,1662
975,2564,1646,1656
976,2567,1650,1653
977,2569,1656,1659
978,2572,1646,1650
979,2576,1653,1656
980,2578,1653,1643
981,2581,1643,1659
982,2584,1646,1646
983,2586,1646,1650
984,2589,1643,1653
985,2591,1653,1646
986,2594,1650,1656
987,2597,1653,1662
988,2599,1640,1653
989,2602,1646,1659
990,2605,1653,1656
991,2607,1653,1659
992,2610,1656,1659
993,2613,1643,1659
994,2615,1656,1650
995,2619,1650,1656
996,2622,1646,1656
997,2624,1656,1662
998,2627,1653,1653
999,2630,1643,1650
1000,2632,1653,1640
1001,2635,1646,1656
1002,2638,1662,1659
1003,2640,1653,1662
1004,2643,1659,1659
1005,2646,1653,1650
1006,2648,1646,1666
1007,2651,1653,1656
1008,2654,1646,1650
1009,2656,1650,1656
1010,2659,1646,1662
1011,2663,1659,1653
1012,2665,1646,1656
1013,2668,1646,1643
1014,2671,1653,1656
1015,2673,1653,1656
1016,2676,1650,1656
1017,2678,1656,1650
1018,2681,1640,1653
1019,2684,1653,1656
1020,2686,1640,1662
1021,2689,1659,1653
1022,2692,1653,1650
1023,2694,1653,1646
1024,2697,1633,1650
1025,2700,1646,1646
1026,2702,1650,1662
1027,2706,1653,1650
1028,2709,1659,1659
1029,2711,1653,1656
1030,2714,1646,1653
1031,2717,1656,1650
1032,2719,1659,1643
1033,2722,1666,1659
